Month	W	P
profit_jan	0.6974009871482849	3.1772792397077865e-08
profit_feb	0.7172811031341553	7.021034775789303e-08
profit_mar	0.698688268661499	3.34128387180499e-08
profit_apr	0.7110838890075684	5.4635371782296716e-08
profit_may	0.6986305713653564	3.3337439475644715e-08
profit_jun	0.6501257419586182	5.460425889225462e-09
profit_jul	0.6679588556289673	1.0410023953966174e-08
profit_aug	0.6546366214752197	6.415347364452373e-09
profit_sep	0.6530978083610535	6.0712310734345465e-09
profit_oct	0.7297706007957458	1.1763103202611092e-07
profit_nov	0.7447426319122314	2.2272674016221572e-07
profit_dec	0.7233765125274658	9.015642632448362e-08
