profit_q1,profit_q2,profit_q3,profit_q4
94,96,111,133
68,63,71,27
101,105,139,116
111,156,208,120
87,116,150,115
11,11,17,15
5,3,9,7
12,9,12,2
39,35,31,35
47,47,32,35
34,28,20,26
42,27,18,28
0,3,9,5
13,16,18,15
9,17,32,18
51,58,71,61
115,107,75,115
67,98,129,76
68,73,104,64
367,397,564,348
20,33,49,33
25,27,43,24
262,276,370,247
30,30,36,47
28,48,58,45
26,27,44,23
39,11,11,26
29,33,28,74
28,25,16,21
159,161,206,185
68,63,71,26
47,47,32,36
30,25,16,22
39,34,31,34
2,76,138,74
262,276,370,247
117,141,157,117
4,4,9,7
3,2,1,2
42,28,18,29
1,3,10,5
28,8,0,21
9,17,31,17
38,54,75,56
105,111,133,128
68,68,39,27
99,112,144,84
115,161,163,139
95,122,150,106
10,12,19,8
6,7,15,5
12,11,1,3
42,33,27,38
46,38,24,38
33,27,19,33
38,24,19,32
3,2,11,3
12,17,21,14
15,17,35,16
50,62,73,51
121,98,75,122
71,100,102,89
63,78,104,63
340,434,563,324
25,35,48,30
23,31,44,20
245,295,368,236
34,36,46,44
44,52,63,28
24,31,44,20
31,15,42,8
29,30,53,71
29,22,16,30
164,183,250,174
68,68,39,26
46,38,24,39
30,22,15,27
41,34,27,38
27,84,139,56
245,295,368,235
117,142,137,127
6,6,16,5
5,1,1,4
38,25,19,32
4,2,11,4
25,8,8,14
15,16,34,16
44,58,76,50
90,121,134,134
69,68,42,29
101,132,106,88
119,167,129,194
102,135,115,122
10,18,13,10
6,8,7,8
12,11,3,1
39,31,25,26
45,35,34,36
32,24,28,29
35,19,29,24
4,6,3,6
13,19,23,22
17,24,16,20
55,63,58,57
114,79,91,105
74,105,81,122
67,99,86,73
366,547,465,390
29,41,33,37
26,42,34,28
259,357,312,271
47,58,50,31
29,40,46,46
33,34,44,16
26,43,34,27
27,19,23,28
29,29,47,66
70,68,42,30
166,192,197,188
38,32,24,26
45,36,33,36
26,19,22,21
121,142,120,149
41,113,74,88
259,357,313,271
6,8,7,8
4,0,2,1
34,20,28,25
3,6,3,7
24,4,18,1
16,24,16,20
48,66,56,58
